OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedforPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NewDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR034,,"3rd & 4th Floors, 39-47 Commerical Street, Halifax""",,ETRS89,-1.861667923,53.72152241,0.03,not owned by a public authority,Yes,permissioned,other,26/08/2015,,,9,Prior approval for a change of use from offices (B1a) to nine apartments (C3),,,,,,,,30/11/2017,30/11/2017
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR035,,"""Kingfisher House, Portland Place, Halifax""",,ETRS89,-1.859895374,53.71945944,0.05,not owned by a public authority,Yes,permissioned,full planning permission,22/04/2016,,,12,Change of use from commercial premises to twelve apartments,,,,,,,,30/11/2017,30/11/2017
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR036,,"""Fountain Chambers, 22 Fountain Street, Halifax""",,ETRS89,-1.862096005,53.72128784,0.03,not owned by a public authority,Yes,permissioned,other,26/08/2016,,,7,Prior approval application for a change of use from office (B1a) to seven apartments (C3),,,,,,,,30/11/2017,30/11/2017
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR037,,"""Ebenezer Methodist Church, 605 Bradford Road, Brighouse""",,ETRS89,-1.777268891,53.72176456,0.14,not owned by a public authority,Yes,permissioned,outline planning permission,21/01/2015,,,6,Demolition of church and garages to facilitate residential development (Outline),,,,,,,16/00657/FUL approved July 2015 for conversion of the church to B1 use,30/11/2017,30/11/2017
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR038,,"""Land east of 11 Gooder Lane, Brighouse""",,ETRS89,-1.780520858,53.69773504,0.02,not owned by a public authority,Yes,permissioned,full planning permission,15/07/2015,,,5,Residential development of 5 one bedroom apartments,,,,,,,,30/11/2017,30/11/2017
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR039,,"""Slade Lane Works, Slade Lane, Brighouse""",,ETRS89,-1.796240484,53.68280549,0.2,not owned by a public authority,Yes,permissioned,full planning permission,15/12/2015,,,10,Demolition of existing building and construction of 10 No dwellings and associated external works (Amended Plans),,,,,,,,30/11/2017,30/11/2017
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR040,,"""Firth's Carpets, Bradford Road, Baliff Bridge, Brighouse""",,ETRS89,-1.77595434,53.72391207,0.67,not owned by a public authority,Yes,not permissioned,,,,,24,,,,,,,,,30/11/2017,30/11/2017
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR041,,"""Ash Lea, 19 Woodhouse Lane, Brighouse""",,ETRS89,-1.773137054,53.69247418,0.14,not owned by a public authority,Yes,permissioned,full planning permission,26/04/2016,,,9,Conversion of existing dwelling into 9 apartments.,,,,,,,,30/11/2017,30/11/2017
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR042,,"""Former Engine Room Hollins Mill, Rochdale Road, Todmorden""",,ETRS89,-2.101936598,53.69542253,0.14,not owned by a public authority,Yes,permissioned,full planning permission,27/03/2015,,,12,"Conversion of former engine room, boiler room and workshop buildings to form 12 No flats with communal lift, stair and storage area.  Upgrading of parking area in existing courtyard. Re-cladding of existing goods lift to 4 storey former spinning mill",,,,,,,,30/11/2017,30/11/2017
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR043,,"""Floors 1-3, 2 Silver Street, Halifax""",,ETRS89,-1.862209327,53.72321077,0.02,not owned by a public authority,Yes,permissioned,full planning permission,13/03/2017,,,11,Change of use of third floor to form 3 No 1 bedroom flats,,,,,,,"Three separate approvals for this site - 14/01322/CON, 15/00252/CON and 16/01675/FUL total 11 partments for the site.",30/11/2017,30/11/2017
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR044,,"""Site of Macmillans, Long Lane, Wheatley, Halifax""",,ETRS89,-1.893936676,53.73733835,0.17,not owned by a public authority,Yes,permissioned,full planning permission,01/04/2015,,,10,"Construction of 10 dwellings and the creation of a new access. Modification of existing access, car parking and landscaping.",,,,,,,,30/11/2017,30/11/2017
http://opendatacommunities.org/id/metropolitan-district-council/calderdale,Calderdale Metropolitan District Council,BLR045,,"""Land off Pudsey Road, Todmorden""",,ETRS89,-2.140326189,53.73370156,0.43,not owned by a public authority,,permissioned,full planning permission,21/07/2014,,,23,Residential development of twenty three dwellings (Amended Plan),,,,,,,,30/11/2017,30/11/2017
