OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Easting,Northing,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/guildford,Guildford,BFLR2017_011,,"""Great Goodwin Drive Garages, Great Goodwin Drive, Guildford""",https://www.guildford.gov.uk/media/26687/Great-Goodwin-Drive-Garages-Great-Goodwin-Drive-Guildford/pdf/BFLR2017_011,ETRS89,3999914.971,-38490.7491,501193,151482,0.14,Not owned by a public authority,Yes,Permissioned,Full planning permission,05/12/2014,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_152705,,6,"""Erection of three pairs of semi-detached two storey houses with front and rear gardens and associated access and parking""",,,,,,,"""Application ref. 14/P/00979  """,27/09/2017,27/09/2017
http://opendatacommunities.org/id/district-council/guildford,Guildford,BFLR2017_012,,"""Land to the rear of Woodbridge Hill Filling Station, Aldershot Road, Guildford, GU2 8AG""",https://www.guildford.gov.uk/media/26688/Land-to-the-rear-of-Woodbridge-Hill-Filling-Station-Aldershot-Road-Guildford-GU2-8AG/pdf/BFLR2017_012,ETRS89,4000119.433,-41378.0983,498315,151127,0.22,Not owned by a public authority,Yes,Permissioned,Full planning permission,01/03/2017,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_172891,,8,"""Erection of four two bedroom houses and two pairs of semi-detached three bedroom houses with rooms in the roof associated parking and access from Aldershot Road.""",,,,,,,"""Application ref. 16/P/01824""",27/09/2017,27/09/2017
http://opendatacommunities.org/id/district-council/guildford,Guildford,BFLR2017_013,,"""28-30, 32 and 34-36 Chertsey Street, Guildford, GU1 4HD""",https://www.guildford.gov.uk/media/26689/28-30-32-and-34-36-Chertsey-Street-Guildford-GU1-4HD/pdf/BFLR2017_013,ETRS89,4001280.55,-39861.4247,499871,149688,0.16,Not owned by a public authority,Yes,Permissioned,Full planning permission,22/02/2017,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_173219,,8,"""Conversion of existing office space B1 (offices) to C3 (Residential) above retail units and shop floor to the rear of retail unit at 28-30, 32 and 34-36 to create 1x one bedroom and 7x two bedroom apartments with additional windows, alterations to existing windows, additional doorways with replacement windows, re-cladding, rooflights, landscaping and bin and cycle stores.""",,,,,,,"""Application ref. 16/P/01915""",27/09/2017,27/09/2017
http://opendatacommunities.org/id/district-council/guildford,Guildford,BFLR2017_014,,"""14-15 Quarry Street, Guildford, GU1 3UY""",https://www.guildford.gov.uk/media/26690/14-15-Quarry-Street-Guildford-GU1-3UY/pdf/BFLR2017_014,ETRS89,4001615.456,-40071.2699,499673,149252,0.05,Not owned by a public authority,Yes,Permissioned,Full planning permission,14/11/2014,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_154633,,9,"""Change of use of office building to form nine individual flats, together with alterations to fenestration and provision of new refuse and cycle store, following demolition of existing single storey rear extension.""",,,,,,,"""Application ref. 14/P/01519 """,27/09/2017,27/09/2017
http://opendatacommunities.org/id/district-council/guildford,Guildford,BFLR2017_015,,"""Works, Poyle Road, Tongham, GU10 1DS""",https://www.guildford.gov.uk/media/26691/Works-Poyle-Road-Tongham-GU10-1DS/pdf/BFLR2017_015,ETRS89,4001544.756,-51082.5035,488668,148980,0.12,Not owned by a public authority,,Not permissioned,,,,,10,,,,10,10,,,,27/09/2017,27/09/2017
http://opendatacommunities.org/id/district-council/guildford,Guildford,BFLR2017_016,,"""Public House, Oxenden Road, Tongham""",https://www.guildford.gov.uk/media/26692/Public-House-Oxenden-Road-Tongham/pdf/BFLR2017_016,ETRS89,4001258.515,-51167.573,488573,149344,0.17,Not owned by a public authority,,Not permissioned,,,,,15,,,,15,15,,,,27/09/2017,27/09/2017
http://opendatacommunities.org/id/district-council/guildford,Guildford,BFLR2017_017,,"""Builders Yard (Elms Garden), Glaziers Lane, Normandy""",https://www.guildford.gov.uk/media/26693/Builders-Yard-Elms-Garden-Glaziers-Lane-Normandy/pdf/BFLR2017_017,ETRS89,3999988.034,-46522.5333,493170,151127,1.25,Not owned by a public authority,Yes,Not permissioned,,,,,15,,,,15,15,,,,27/09/2017,27/09/2017
http://opendatacommunities.org/id/district-council/guildford,Guildford,BFLR2017_018,,"""Courier House, Aldershot Road, Ash""",https://www.guildford.gov.uk/media/26694/Courier-House-Aldershot-Road-Ash/pdf/BFLR2017_018,ETRS89,4000682.647,-51316.5776,488404,150077,0.6,Not owned by a public authority,,Not permissioned,Full planning permission,31/07/2017,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=_GUILD_DCAPR_173518,,14,"""Demolition of existing office/distribution building and erection of 9 houses (7x3 bed and 2x4 bed), 5x2 bed flats and a religious meeting hall (D1 use)""",,,14,14,,,"""Application ref. 16/P/02004""",05/12/2017,05/12/2017
http://opendatacommunities.org/id/district-council/guildford,Guildford,BFLR2017_019,,"""Slyfield Area Regeneration Project, Guildford""",https://www.guildford.gov.uk/media/26695/Slyfield-Area-Regeneration-Project-Guildford/pdf/BFLR2017_019,ETRS89,3999557.752,-39415.9722,500256,151910,40,Mixed ownership,,Not permissioned,,,,,1000,,"""2017 LAA proposes 6500 sq. m light industrial (B1c)/ trade counters and 6 traveller pitches (sui generis)""",,1000,1000,,,"""2017 Submission Local Plan allocation ref. A24""",27/09/2017,27/09/2017
http://opendatacommunities.org/id/district-council/guildford,Guildford,BFLR2017_020,,"""Land at Westway, off Aldershot Road, Guildford""",https://www.guildford.gov.uk/media/26696/Land-at-Westway-off-Aldershot-Road-Guildford/pdf/BFLR2017_020,ETRS89,4000135.172,-41989.1295,497705,151087,0.56,Not owned by a public authority,Yes,Not permissioned,,,,,38,,,,38,38,,,"""2017 Submission Local Plan allocation ref. A19""",27/09/2017,27/09/2017
